"21/500","{643.6605365646817, 0.2651871055919625, 1126.518061554561, 0.27318733202712225}"
"43/1000","{647.5172914983641, 0.2745047123565583, 1116.0118522770968, 0.2649579536715295}"
"11/250","{651.2821274833526, 0.284552014884624, 1105.5720199547816, 0.27635546237118774}"
"9/200","{655.5241984509644, 0.29723364701031113, 1091.4747474578526, 0.27127389073763675}"
"23/500","{660.0749954119715, 0.30368408408883835, 1079.978868351204, 0.2848654001827326}"
"47/1000","{664.7129284579147, 0.3198630452659267, 1067.862709469099, 0.29488289655094596}"
"6/125","{668.7160491089086, 0.3308185453089622, 1053.0454825866352, 0.3043304516145467}"
"49/1000","{672.2268322592469, 0.34213663983180326, 1039.0304298190779, 0.29692895065729785}"
"1/20","{676.4986691655824, 0.35701199159991365, 1023.5045515324215, 0.29448577175059587}"
"51/1000","{680.8649840079115, 0.37056893996726104, 1009.2736443838148, 0.31395525573552735}"
"13/250","{684.3332593121664, 0.3712729702414114, 994.1119196005402, 0.31844942943593135}"
"53/1000","{688.7584430806158, 0.3846988945965356, 975.1618631381904, 0.3033601045680317}"
"27/500","{692.4228537879461, 0.40164067931790653, 957.7495597745324, 0.3119914169498083}"
"11/200","{696.4079569234805, 0.4144159216814812, 938.5352704956892, 0.3040396738481951}"
"7/125","{700.5102976820148, 0.42828691789743206, 919.2031971713142, 0.3250152757827136}"
"57/1000","{704.1800691799366, 0.43413981645176575, 899.9641984650666, 0.3011837262552699}"
"29/500","{708.9025248650535, 0.4448678849163434, 879.6921614461825, 0.301263925327998}"
"59/1000","{712.9748335955044, 0.46570328707900277, 858.7156715535206, 0.31413089995953125}"
"3/50","{715.9238091931951, 0.4615965548842388, 835.5460438052999, 0.3310560496073701}"
"61/1000","{720.3158780534899, 0.4919675339413253, 815.1327416539195, 0.3370667772216932}"
"31/500","{723.7432338157821, 0.49313669202713944, 792.6264647647517, 0.3453882204458034}"
"63/1000","{727.9593417933038, 0.5063861225982227, 769.4122286358814, 0.34002593781432544}"
"8/125","{731.9242415970027, 0.5267779342930147, 743.6244795362628, 0.34179161424272364}"
"13/200","{735.4366815933572, 0.5327185171017677, 719.098875821258, 0.3732615449002052}"
"33/500","{738.5277868291635, 0.5302169583645602, 691.8757590977591, 0.3460996216045681}"
"67/1000","{744.1825122187324, 0.5550004265477361, 666.8367215782575, 0.3689955635433831}"
"17/250","{747.7061664450222, 0.5636091471354973, 638.9910966194832, 0.36740600989669536}"
"69/1000","{751.1140793112341, 0.5788152517723112, 611.0367991332432, 0.4001786952236787}"
"7/100","{755.6835875537867, 0.5869027314076942, 581.1865560670492, 0.38728506647617034}"
"71/1000","{758.4252302856748, 0.610540141897986, 551.3358768885919, 0.40743511863191173}"
"9/125","{762.3730113375678, 0.6086536352684216, 520.6037985074482, 0.4300571691958719}"
"73/1000","{765.4150753763904, 0.6130139516196684, 489.95449041020356, 0.41067376454560706}"
"37/500","{768.9735393335067, 0.635498491370533, 460.39535408863526, 0.40946619899173287}"
"3/40","{772.8402564154364, 0.6526113628166185, 426.70941711636726, 0.4480010211634987}"
"19/250","{776.974022046322, 0.6663736326844045, 397.83271480266086, 0.425148004563011}"
